2020-03-25 20:07:33,436 [AUDIT] Token created by 'jffe@000': tokenId='0bb675cd-0c3d-4662-bb32-eda693d358c5', issuer='jffe@000', subject='jffe@000', expiry=1585167453419, refreshable=false
2020-03-25 20:17:33,486 [AUDIT] Token created by 'jffe@000': tokenId='fe4b58e7-ecd1-40a9-ae37-715b14eb11d5', issuer='jffe@000', subject='jffe@000', expiry=1585168053480, refreshable=false
2020-03-25 20:17:33,489 [AUDIT] Token created by 'jffe@000': tokenId='6827c2b2-ff36-43bf-a891-4281f5fd4174', issuer='jffe@000', subject='jffe@000', expiry=1585168053481, refreshable=false
2020-03-25 20:17:33,489 [AUDIT] Token created by 'jffe@000': tokenId='ca0944f3-7f0b-44c0-87c9-bb2411c63e1c', issuer='jffe@000', subject='jffe@000', expiry=1585168053482, refreshable=false
2020-03-25 20:17:33,490 [AUDIT] Token created by 'jffe@000': tokenId='767fa266-0c68-4540-847f-53af43f9f55a', issuer='jffe@000', subject='jffe@000', expiry=1585168053481, refreshable=false
2020-03-25 20:27:33,546 [AUDIT] Token created by 'jffe@000': tokenId='ed081ef8-76c3-439a-8315-b441d989fad7', issuer='jffe@000', subject='jffe@000', expiry=1585168653543, refreshable=false
2020-03-25 20:27:33,549 [AUDIT] Token created by 'jffe@000': tokenId='508f18b9-7b41-4f5c-b3e4-901bfe1883e0', issuer='jffe@000', subject='jffe@000', expiry=1585168653543, refreshable=false
2020-03-25 20:27:33,552 [AUDIT] Token created by 'jffe@000': tokenId='deca17f7-3820-46e5-8e01-cc8886a72c09', issuer='jffe@000', subject='jffe@000', expiry=1585168653544, refreshable=false
2020-03-25 20:27:33,559 [AUDIT] Token created by 'jffe@000': tokenId='625092a5-7bdc-4fec-9ac2-ad844a7c2dd8', issuer='jffe@000', subject='jffe@000', expiry=1585168653543, refreshable=false
2020-03-25 20:37:33,751 [AUDIT] Token created by 'jffe@000': tokenId='19a11c3c-644c-4918-b072-23fa1ba8354f', issuer='jffe@000', subject='jffe@000', expiry=1585169253747, refreshable=false
2020-03-25 20:37:33,753 [AUDIT] Token created by 'jffe@000': tokenId='11113b51-83e7-4ee1-9599-563189a368d0', issuer='jffe@000', subject='jffe@000', expiry=1585169253748, refreshable=false
2020-03-25 20:37:33,756 [AUDIT] Token created by 'jffe@000': tokenId='f27de8d2-459a-40f6-91dc-c28194f33e21', issuer='jffe@000', subject='jffe@000', expiry=1585169253748, refreshable=false
2020-03-25 20:37:33,758 [AUDIT] Token created by 'jffe@000': tokenId='4fdc1775-843c-4d22-bc2b-0c80f6523dab', issuer='jffe@000', subject='jffe@000', expiry=1585169253748, refreshable=false
2020-03-25 20:47:33,947 [AUDIT] Token created by 'jffe@000': tokenId='b4051514-ac6e-4628-894e-9325cb240e09', issuer='jffe@000', subject='jffe@000', expiry=1585169853946, refreshable=false
2020-03-25 20:47:33,949 [AUDIT] Token created by 'jffe@000': tokenId='baf23344-f743-400a-966b-649f37188ef6', issuer='jffe@000', subject='jffe@000', expiry=1585169853946, refreshable=false
2020-03-25 20:47:33,953 [AUDIT] Token created by 'jffe@000': tokenId='e78964b3-1b25-4224-ac3b-09cd6a6613bc', issuer='jffe@000', subject='jffe@000', expiry=1585169853948, refreshable=false
2020-03-25 20:47:33,956 [AUDIT] Token created by 'jffe@000': tokenId='3ad8623c-696f-413b-926a-a046b03722bb', issuer='jffe@000', subject='jffe@000', expiry=1585169853948, refreshable=false
2020-03-25 20:54:46,940 [AUDIT] Token created by 'anonymous': tokenId='d3888ca8-370a-4142-9014-26434045971a', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
2020-03-25 20:54:47,089 [AUDIT] Token revoked by 'anonymous': tokenId='e1b01c0d-403e-4692-a0cd-65de46beb5aa', issuer='jfrou@01e49j78r7vs30xv5qb9mj5w52', subject='jfrou@01e49j78r7vs30xv5qb9mj5w52', expiry=none, refreshable=false
2020-03-25 20:54:47,780 [AUDIT] Token created by 'anonymous': tokenId='94ff813e-e695-49e5-8bdc-6f8347cd2735', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-25 20:54:47,813 [AUDIT] Token revoked by 'anonymous': tokenId='5c8a6e59-50c0-48ce-adf9-a8b066090387', issuer='jfmd@01e49j7a9f9sx346488s7y6rc7', subject='jfmd@01e49j7a9f9sx346488s7y6rc7', expiry=none, refreshable=false
2020-03-25 20:54:48,147 [AUDIT] Token created by 'anonymous': tokenId='a59227f9-067a-46f2-90b3-9a5cd25be8bb', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-25 20:54:48,159 [AUDIT] Token revoked by 'anonymous': tokenId='54f58bd4-f47e-4266-94ac-35ca1dffb41b', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=none, refreshable=false
2020-03-25 20:54:50,043 [AUDIT] Token created by 'jfrt@01e49j7nt5qc6w0satw40506g3': tokenId='84565aa8-d933-48c8-a4ed-90c0f203409c', issuer='jfrt@01e49j7nt5qc6w0satw40506g3', subject='jfrt@01e49j7nt5qc6w0satw40506g3', expiry=2531249690035, refreshable=false
2020-03-25 20:54:54,456 [AUDIT] Token created by 'anonymous': tokenId='971ba55c-0f69-4192-9731-254c21cf603b', issuer='jfac@01e49j73ccnr7c17gd5ayt0916', subject='jfac@01e49j73ccnr7c17gd5ayt0916', expiry=1585169814374, refreshable=false
2020-03-25 20:54:57,554 [AUDIT] Token created by 'anonymous': tokenId='e5a56d47-13e4-4fe9-9e6f-3b334b45783c', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-25 20:54:57,583 [AUDIT] Token revoked by 'anonymous': tokenId='e7dd1e7c-e616-47f9-8aaf-483976c89a7e', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2020-03-25 20:54:57,640 [AUDIT] Token created by 'jffe@000': tokenId='315de50d-0646-4ae3-80d9-774ddbf8902e', issuer='jffe@000', subject='jffe@000', expiry=1585170297633, refreshable=false
2020-03-25 21:05:00,054 [AUDIT] Token created by 'jffe@000': tokenId='3aa6d813-cbce-48fc-9b05-f612bf969b22', issuer='jffe@000', subject='jffe@000', expiry=1585170900037, refreshable=false
2020-03-25 21:05:00,054 [AUDIT] Token created by 'jffe@000': tokenId='628c08c3-b4a6-4831-a793-676a87a28c9b', issuer='jffe@000', subject='jffe@000', expiry=1585170900044, refreshable=false
2020-03-25 21:05:00,055 [AUDIT] Token created by 'jffe@000': tokenId='344f0137-4619-496f-b745-17461a21e1be', issuer='jffe@000', subject='jffe@000', expiry=1585170900037, refreshable=false
2020-03-25 21:05:00,055 [AUDIT] Token created by 'jffe@000': tokenId='846f1b45-1193-4567-8d12-560d2d0d0b36', issuer='jffe@000', subject='jffe@000', expiry=1585170900041, refreshable=false
2020-03-25 21:15:00,050 [AUDIT] Token created by 'jffe@000': tokenId='f773b044-6321-4e66-af12-83eeeed8aa8f', issuer='jffe@000', subject='jffe@000', expiry=1585171500049, refreshable=false
