2020-04-22T10:44:37.745Z|4ee193cfe32f8926|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|14.804|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:45:02.747Z|7e1e8a0ef3c32cff|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|16.780|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:45:27.750Z|638437230c97920f|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|19.348|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:45:52.748Z|5ba732354ded7f83|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|17.005|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:46:17.750Z|4462a08c9dfdf181|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|19.310|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:46:42.752Z|bfb400ab4feb466 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|18.794|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:03.404Z|29744701e7668a9c|::ffff:127.0.0.1|admin|GET|/api/v1/ui/global/replications/config|200|61|-|100.055|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:03.496Z|a935083aa0b197e |::ffff:127.0.0.1|admin|GET|/api/v1/ui/generalConfig|200|759|-|195.598|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:03.602Z|62132a4ddc844f0d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/local/libs-snapshot-local|200|718|-|305.338|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:03.726Z|7e7c38c9f978b024|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/availablechoices|200|-|-|85.635|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:04.261Z|1931ce36c0d49fcc|::ffff:127.0.0.1|admin|GET|/api/v1/ui/propertysets?isRepoForm=true|200|2|-|19.609|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:07.743Z|d0bdc1337ed5696 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|5.157|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:09.124Z|310e74f2f7171107|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repolayouts?jfLoader=true|200|-|-|8.131|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:10.586Z|43924284ed022b57|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/remote/info|200|168|-|25.899|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:10.587Z|42e92827ba5643ed|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/local/info|200|295|-|25.902|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:10.610Z|1343088e379bd93a|::ffff:127.0.0.1|admin|GET|/api/v1/ui/global/replications/config|200|61|-|37.772|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:10.611Z|10b7a05f7bad6960|::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/virtual/info|200|310|-|28.370|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:10.612Z|7d5d10f02efdd0a |::ffff:127.0.0.1|admin|GET|/api/v1/ui/admin/repositories/distribution/info|200|2|-|35.082|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:21.518Z|804dd3d67fa1b4  |::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|27.731|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:21.546Z|6c4546ff1aa308ac|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?search=true|200|610|-|9.827|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:21.632Z|335a7aa2d37f3ec8|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount?$no_spinner=true|200|69|-|49.344|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:21.639Z|2a82b42530e5b4fa|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount?$no_spinner=true|200|69|-|37.800|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:21.939Z|5ede826bd96a3b89|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|14.284|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
2020-04-22T10:47:21.971Z|5c9775dce5cd0668|::ffff:127.0.0.1|admin|POST|/api/v1/ui/treebrowser?compacted=true&$no_spinner=true|200|-|94|191.891|Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:75.0) Gecko/20100101 Firefox/75.0
